tokens,tags
2011-09-23,B-version
MPEG,O
Authentication,I-application
mfc80loc.dll,B-file
Auth/Verify/LDAP.pm,B-file
8.3.5.5684,I-version
5.3.3819,B-version
jsp/audit/reports/ExportReport.jsp,B-file
zero-memory,O
geolinkparams,O
0.31,B-version
xmlnode.value,B-version
Meter,I-application
Oxwall/contact,O
CVE-2013-2403,B-cve id
import.zip,B-file
4.8.1,B-version
C3-ilex,B-vendor
Python,B-PL
ProSafe,B-hardware
Monitor,I-hardware
9.1.1,I-version
DVD,I-hardware
2.3.16,I-version
Lucent/Ascend,O
fs/befs/linuxvfs.c,B-file
TaskFreak,B-vendor
5.x-1.3,I-version
1.08,B-version
WebProd/pages/pgHistory.asp,B-file
0.999927,I-version
BZ2_decompress,B-function
ZipArchive::getArchiveComment,B-function
vqavideo.c,O
ISP,O
2.3.4,I-version
drivers/net/wireless/orinoco/wext.c,B-file
11.00,B-version
1.8.7,I-version
iscsitarget,B-application
1.400.x,B-version
aliases,O
Sec-WebSocket-Origin,O
Nagios-App,B-application
lib/filemanager/imagemanager/images.php,B-file
7.28.1,I-version
Folsom-1,I-version
apps/rmail/webmail/program/lib/Net/SMTP.php,B-file
Clientless,B-application
intercepted,O
_app/views/categories/index.html.erb,B-file
guide,O
InTouch,B-application
18.0.1025.151,I-version
updates,O
Groupware,B-application
1.6.7,I-version
08-55,I-version
modules/catalog/upload_photo.php,B-file
CP4005,O
8050,I-hardware
part,O
3.70,B-version
ifcfg-rh,B-application
Publisher,O
fs/ext4/namei.c,B-file
CVE-2012-4345,B-cve id
xsltDocumentFunction,B-function
Posse,B-application
SiteScope,B-application
Change,B-application
Skinny,O
E0402,O
AdvertisementManager,B-application
June,O
CVE-2010-0180,B-cve id
CVE-2013-1491,B-cve id
Accessibility,I-application
Volunteer,I-application
DIR-300,B-hardware
3.3.9,I-version
0.9.1,I-version
WebCalendar,B-application
3.16,B-version
lisp/files.el,B-file
auth-settings.php,O
Canteen,O
Qpid,B-application
util/buildscripts/jslib/buildUtil.js,B-file
2.2-dev,B-version
detecting,O
checked,O
gdk-pixbuf/io-gif.c,B-file
Video,O
7.3.101.0,I-version
set_log_config,B-function
T.38,O
Palo,B-vendor
capable,O
Science,B-application
mpm-itk,B-application
name_last,O
Wallet,B-application
net/rose/af_rose.c,B-file
0.0.3,B-version
event-handler,O
Airiny,B-vendor
F7D1301v1,B-version
template/inc_script/frontend_render/disabled/majonavi.php,B-file
Design,O
justVisual,B-application
scripts/annotate-output.sh,B-file
Tor,B-application
DIY-CMS,B-application
1.03,I-version
mfp,O
17,O
Organizer,B-application
pvm_cert_commaction.php,O
24,B-version
Epiphany,B-application
Bristol,B-application
AuraCMS,B-application
ORB,I-application
120224,B-version
libtiff/tif_fax3.h,B-file
phpMyDirectory,B-application
FTPx,B-vendor
serialid,O
previously,O
1.2-1,I-version
asihpi_hpi_ioctl,B-function
seems,O
CVE-2012-0724,B-cve id
1.4.08,B-version
II,I-application
S7-400,O
INSERT,O
7.0.12,B-version
Markdown,I-application
CVE-2010-2889,B-cve id
sub_key,B-parameter
246,O
M-Link,B-application
VAM2+,O
Japanese,I-application
evince,B-application
Flogr,B-application
sense,O
"Title,""",O
default_comment_display,B-parameter
HTTPInput,O
CVE-2011-0267.2,B-cve id
8.5fp1,B-version
CSCto57723,O
7.7,B-version
BookmarkID,B-parameter
1.6.2.17.1,I-version
NetFront,B-application
ext/date/lib/parse_date.c,B-file
1.7.5,I-version
6.x-4.0-beta8,I-version
iff.c,B-file
354,I-version
DB,B-version
screensaver,O
9.9.2-P1,I-version
SWAPEXT,O
2.1.10,I-version
loadit,O
421,I-version
1.2-2,I-version
cat_id,B-parameter
3.4.19,I-version
1.17.x,B-version
prepare_exec,B-function
2.0.2rc1,I-version
CVE-2010-4191,B-cve id
CVE-2011-1419,B-cve id
LogAnalyzer,B-application
"JRE),",O
CallManager,O
0.95.3,I-version
CP10,B-update
2.0.6.1,I-version
White,B-application
RepairShop2,B-application
FreeBit,B-vendor
CVE-2013-0240,B-cve id
ClanTiger,B-application
fs/binfmt_script.c,B-file
edit-profile,O
libc/bionic/malloc_debug_leak.c,B-file
MangosWeb,B-application
NonStop,O
Status,B-hardware
SmartWi,O
"""@""",O
sss_autofs_cmd_getautomntbyname,B-function
ProfUIS290m.dll,O
Panes,I-application
load_mixer_volumes,B-function
OpenFileDlg,B-method
cleartext,B-relevant_term
util/icon_browser.php,B-file
nnm/protected/ping.jsp,B-file
Article,B-application
CVE-2010-1000,B-cve id
3D-FTP,B-application
CVE-2013-0604,B-cve id
cgre_receive_netlink_msg,B-function
8.4.0,B-version
ssdp/ssdp_server.c,B-file
NinjaXplorer,B-application
2.1.0.39,B-version
7.50/7.53,B-file
CVE-2012-4165,B-cve id
hadoop-0.20-sbin,O
CVE-2011-4122,B-cve id
services/twitter/twitter-item-view.c,B-file
pseudofs,O
e107_admin/download.php,B-file
qemu,B-application
RAM,O
SNS,I-application
19,B-update
request.c,B-file
4.06,I-version
8.10.1125,B-version
PPP,O
6.0.0.47,I-version
Openstack,B-vendor
key's,O
R14B03,I-version
20.0.0.7330,B-version
toolkit/components/passwordmgr/src/nsLoginManagerPrompter.js,B-file
onglet_bis,B-parameter
CVE-2010-3915,B-cve id
counterToCSSValue,B-function
9,I-version
airopeek,O
CVE-2009-3872,B-cve id
/etc/keystone/ec2rc,O
admin/formWlAc,O
Exec,B-version
1.0.55,I-version
IOS,B-hardware
Nessus,B-vendor
1.3.2.005,B-version
Gnome,B-application
2.6.33.3,B-version
filemanager,O
com_realtyna,O
GrowAtomTable,B-function
0.4,I-version
CVE-2013-2305,B-cve id
source-port,O
GO,B-PL
Uptime,I-application
tools/tools-common.c,B-file
skype,B-application
2.9.12,I-version
IronPort,O
RealVideo,O
CVE-2011-3986,B-cve id
dialplan,O
3.8.4,I-version
211.12.01,I-version
5.1.63,I-version
actionpack/lib/action_dispatch/middleware/remote_ip.rb,B-file
is,I-application
OSCommerce,B-vendor
CVE-2011-2434,B-cve id
retains,O
ecommerce/control/contactus,O
copy_shmid_to_user,B-function
Decoda,B-application
plugins/Widgetize/Widgetize.php,B-file
CVE-2012-3411,B-cve id
b0.915,B-version
Quickr,O
1756-EWEB,B-hardware
modules/svn_integration/config.inc.php,B-file
Predictor,I-application
2.7.0,I-version
UGameEngine::UpdateConnectingMessage,B-function
tiffdump.c,B-file
3.10.9,B-version
financial,O
Pack,I-application
Lattice,B-vendor
challenges,O
12.1.1,B-version
netmri/config/userAdmin/login.tdf,B-file
4.2.3,I-version
XSPF,B-application
KeyRingPassword,O
HBS,O
2.3.2.12074_13_13,I-version
5x6,B-version
Varnish,B-application
OPEN,O
CVE-2009-2302,B-cve id
SQLConnectW,B-function
main/acl.c,B-file
DataTrack,B-application
12.2,B-version
CVE-2013-0431,B-cve id
KrM,B-application
1.9.2,B-version
Bcfg2,B-application
ReadS3M,B-method
learn/cubemail/filemanagement.php,B-file
com_multimap,O
do_load_setup,B-function
libsdp,B-application
OES2,O
40.19.36,B-version
Adiscon,B-vendor
3.0.0.1029,I-version
plugins/gui.ajax/class.AJXP_ClientDriver.php,B-file
CSCtr47517,O
EC2,B-application
cross-site,I-relevant_term
ALPHA,B-hardware
CVE-2012-0235,B-cve id
1.9.1,B-version
extlib,B-application
4.6.1,I-version
Firewall,B-hardware
WMP9,O
editpage,O
6.x-3.2,I-version
Mercator,B-vendor
set_magic_quotes_runtime,B-function
5.0.18,I-version
PageEditor.py,O
Pithos,B-application
DetailReportGroup.lgx,O
fetchmail,B-application
RetrievePropEx,O
sites[],O
IPsec,O
3.5.1,B-version
Smarty,B-application
5.7,B-version
mohinterpret,O
6.2.9.1,I-version
predict,B-update
1.04,I-version
CVE-2010-3648,B-cve id
10.1.0,I-version
Nuance,B-vendor
WebReporting,O
Cero,O
8.0,I-version
9.5,I-version
Dldrv2,B-application
CVE-2010-2057,B-cve id
s2s/out.c,B-file
3.6.10,B-version
par_mktmpdir,B-function
safte-monitor,O
Neutrino,B-os
vp6_parse_coeff,B-function
pHp,O
5.0(2)N1(1,I-version
11.3,I-version
2012-01-25,B-version
opcodes,O
1.12.x,B-version
DSO,O
CVE-2010-4670,B-cve id
IIOP,O
GBook,O
2.6.34-git10,I-version
7.5x,B-version
xen_iret,B-function
1.0.8,B-version
5.0.298,B-version
Peer,B-application
6.0.0.8-TIV-ITDS-IF0004,B-version
(.ass,O
link_idd,B-parameter
03-00-08,I-version
3.37,B-version
"8.0(5.25),",I-version
Dependency,I-application
18.0.1025308,I-version
fuser,O
CiviCRM,B-application
2.2.16-6+squeeze7,I-version
rds_ib_xmit,B-function
3.0.0(1,B-version
src/sys/dev/pci/azalia.c,B-file
v2.2.3,B-version
LLDPDUs,O
ASP,I-application
0.8.16,B-version
NetDecision's,B-application
evserver/createcontrol.js,B-file
Build,I-version
View,I-hardware
PHP,I-application
1.1.1,B-version
Seotoaster,B-application
req_new_password1,O
5.4,B-version
Dovecot,B-application
updated,O
0.8.16~exp12ubuntu10.7,I-version
defaultValue,B-function
CVE-2011-0574,B-cve id
6.0.0.03100,B-version
0.10.19.1,B-version
IN,O
Volume,I-application
proxies_controller.rb,O
"3027),",O
presenting,B-update
SRP546W,O
XenDesktop,B-application
addressbook/register/edit_user_save.php,B-file
Hotaru,B-application
tmhOAuth,B-application
9.7(3)P9,I-version
win32k.sys,B-file
Analyzer,O
IMG,I-application
break,O
Intermesh,B-vendor
10.3.3,B-version
IrfanView,B-vendor
Injection,B-relevant_term
user_mobil,B-parameter
ioUrbanTerror,B-application
4.5.1,I-version
deviceName,B-parameter
0.1.5,B-version
Domain,B-application
5.3.2,B-version
FortiMail,B-application
Bridge,B-application
Content-ID,O
Pantech,O
phpESP,B-application
emulators,O
createRandomPassword,B-function
formFilter,O
SketchUp,B-application
GTK+,O
device-node,O
2.9.0,I-version
dissect_stun_message,B-function
3.3.6,I-version
SOCKS,O
8.6(2a)su2,I-version
TELNET_STREAM_CONTEXT::OnSendData,B-function
freeSSHd,B-application
ast_parse_digest,B-function
CVE-2011-3078,B-cve id
5.1.7,B-version
v,O
1.4(4,I-version
Assurance,I-application
NMM,O
2007-12-20,B-version
2011.3,I-version
9.2.4,I-version
Unified,B-hardware
2.20.x,B-version
NextGEN,B-application
drivers/usb/class/cdc-wdm.c,B-file
wptouch/ajax.php,B-file
CCITTFaxStream::lookChar,B-function
iProcess,B-application
"8.1(2.56),",I-version
1.6.0,I-version
PCNTL,O
nsSVGPathSegList::ReplaceItem,B-function
cabview.dll,B-file
ctl00%24MPH%24txtAdminNewPassword_SettingText,B-update
1.40.01,B-version
CHNL,O
nsrindexd,O
Federated,B-application
3.0.STABLE22,I-version
msAddImageSymbol,B-function
4.3.x,B-version
epan/dissectors/packet-rohc.c,B-file
V2.30.00,I-version
LyricsTab.py,O
8.03,B-version
4.0.2,I-version
/modules/poll/add.php,B-file
(\HOST\share\something,O
CVE-2012-1682,B-cve id
1.6,I-version
G3,I-application
php_register_variable_ex,B-function
admins,O
GVim,B-application
Ringtone,I-application
Samsara,B-application
Open&Compact,O
jar,O
zend_strtod,B-function
reply's,O
security/__init__.py,B-file
WebRTC,O
CVE-2011-2452,B-cve id
CVE-2007-5779,B-cve id
dospecial.c,B-file
Ananta,B-application
3.5.0.52,B-version
1.4.05,B-version
2.5.2ubuntu0.1,I-version
Aardvertiser,B-application
Atlassian,B-vendor
1.5.3.9130,I-version
clock_gettime,O
ACCESS,B-application
Transportation,B-application
pango/opentype/hb-ot-layout.cc,B-file
Adam,O
src/backend/executor/nodeHash.c,B-file
9.120.0.1004,B-version
my_admin/admin1_configuration.php,B-file
0.8.5,I-version
resumeview.php,O
1.19.x,B-version
2.11.0,B-version
feed://,O
4.70j,B-version
5.0.95,B-version
Kaixin001,B-application
xattr,B-version
bruteforce,O
02-53-02,I-version
kernel-mode,B-relevant_term
move,O
VideoWhisper,B-vendor
mod_cluster,O
E75.x,B-version
0.3.2,B-version
l2tp_ip_sendmsg,B-function
gdk/gdkwindow.c,B-file
1.0.33,I-version
1.8.11-cert4,I-version
Public,B-vendor
src/vl/vlDAT.cpp,B-file
Unicode,I-application
banshee-1,O
givesight,B-vendor
disable,O
Methods,O
admin/404.php,B-file
organizations,O
Voice,I-application
rio_ioctl,B-function
Pluck,B-application
4.2.7,I-version
com_datafeeds,O
2.6.38-rc4-next-20110216,I-version
AtermWM3450RN,B-hardware
Batavi,B-application
bgp_route_refresh_receive,B-function
0.23.x,B-version
utilize,O
assembly-language,O
3.2.20.0,B-version
Plus,B-edition
setup/index.php,B-file
7.30,I-version
PDFill,B-application
0day,B-version
EH,O
4.5.0.1,B-version
0.24.x,B-version
5.6.2,I-version
CVE-2010-1855,B-cve id
PIF,O
app/view/box_publish_button.php,B-file
acquiring,O
Online,B-edition
0.7.22,B-version
0.9.33,B-version
2.7.11,I-version
M4345,O
Array,I-application
2.30,B-version
/tmp/hpcupsfax.out,B-file
apps/files_versions/js/versions.js,B-file
7.0.4.2,B-version
6.1.11,I-version
Blogs,B-application
includes/ping.php,B-file
Explorer,B-application
1.3.3g,I-version
replace,O
8.5.1,I-version
5.85,I-version
11.50,I-version
CVE-2010-4570,B-cve id
EVP_PKEY_verify_recover,B-function
5.1.64,B-version
7.1(5)su1,I-version
Zabbix,B-application
4.3g,I-version
12.4MDA,B-version
phones,O
1.6.17,I-version
Multiprotocol,O
util/rampart_timestamp_token.c,B-file
IMManager/Admin/IMAdminSystemDashboard.asp,B-file
1.6.8.1,B-version
1.1.9,B-version
MikroTik,B-vendor
CVE-2010-1961,B-cve id
2.6.34-rc4,I-version
ib_uverbs_poll_cq,B-function
Kerweb,B-application
SanDisk,O
1.23,I-version
CHF1,B-version
2806,O
1.45,B-version
Gajim,B-application
ACRA,B-application
6.3.3,I-version
1_mobile/agentprofile.php,B-file
Of,O
comment_message,B-parameter
"values,""",O
AREA_ID,B-parameter
Cluster,I-application
ColdCalendar,B-application
propagates,O
auto-install,O
Connect,I-application
H264WebCam,B-application
preferring,B-update
wkssr.dll,O
CVE-2010-2443,B-cve id
KGet,O
ComeUrl,B-parameter
Home,I-application
1.480.3,I-version
buckets/apr_brigade.c,B-file
2.3.15,B-version
2.2.8,B-version
net/bridge/br_mdb.c,B-file
120228,O
is_enrolled,B-function
unescaped,O
gtkutils.c,O
roomwizard,B-hardware
perfigo_weblogin.jsp,O
Thread,I-application
CVE-2010-0170,B-cve id
Zone,I-application
jQuery,B-application
browser's,O
Prime,B-application
commentorder,O
base/Comments.php,B-file
2.6.10,B-version
CVE-2013-1384,B-cve id
Gift,I-application
Taxotouch,B-application
10.0MP2,B-version
1.8.13,I-version
4.30,B-version
find_keyring_by_name,B-function
Ticket,I-application
0.2.2.7-alpha,B-update
10.3.1,B-version
AutoUpdate,B-application
PicoPublisher,B-application
1.0.1c,B-version
SCADA,I-application
4.7.18,B-version
Breakfast,I-application
2.28,B-version
CF19,I-version
tasks,O
theme_adium_append_message,B-function
Scan,O
allow-query,O
r2253,I-version
Sunway,O
2.17.3.3150,B-version
CVE-2010-3307,B-cve id
07.080.3,I-version
Emergency,B-application
Celerra,B-application
mm/memory_hotplug.c,B-file
Crm/Controller.php,B-file
0.3.9.1,I-version
1.4.0,B-version
titlu,O
CVE-2011-0036,B-cve id
mysql/mysql-auth.pl,B-file
PLIB,B-application
3.1.2-281,I-version
2.47.3,B-version
setup/frames/index.inc.php,B-file
6.0.0.88,B-version
9.5.0,I-version
Stats,O
efs,O
5.2.15,I-version
Intel,O
3,B-version
8.0.1.1,I-version
UMIP,B-application
Micro,I-application
CSCtq36153,O
5.10.228257.2253,I-version
SubmitHandler.java,O
Impact,O
2.1.42.18967,I-version
librsvg,B-application
2.2.7,I-version
9.9.1-P2,I-version
WEC,B-application
0.0.2,B-version
0.9.0,B-version
1.02,I-version
ResourceSpace,B-application
privacy,O
CVE-2011-0556,B-cve id
NPAPI,I-application
11.70.xC5,I-version
exported,O
xrdcp,B-version
15.0.874.120,I-version
character-set,O
Equis,B-vendor
2.4.26,B-version
Wide,B-application
Fix,I-update
5.2.13,I-version
BuddyPress,B-application
wp-safe-search/wp-safe-search-jx.php,B-file
Strip,O
normalizeDocument,B-function
ARCserve,B-application
"A3(2.4),",I-version
flex,B-application
admin/modules/mod_pastes.php,B-file
Acidcat,B-application
linear,O
scr.php,B-file
CVE-2013-1308,B-cve id
Cloud,B-application
DiY-CMS,B-vendor
2.9.22.5,I-version
consistently,O
drivers/video/sis/sis_main.c,B-file
Alexander,O
Trend,B-vendor
epan/dissectors/packet-mount.c,B-file
certificates,O
printdetail.asp,O
codebase,O
SFCB,O
processview.asp,O
tools/phpmailer/class.phpmailer.php,B-file
DataPower,I-hardware
mod_status,O
3.0,I-version
promotion_rule,B-parameter
7.0.0.2,I-version
ImageIO,B-application
Proficy,I-application
too,O
02-01-/D,I-version
extends,O
3.6.x,B-version
2.11.6,I-version
OpenURLinPlayerBrowser,B-function
pa_socket_namelen,O
8.3.2.0,B-version
Survey,I-application
significance,O
unblock,O
OVF,B-application
sed_import,B-function
evm_update_evmxattr,B-function
CSCud15673,O
FP6,I-version
2.9.1,B-version
wrappers,O
TMEMC_SAVE_END,O
CVE-2010-3483,B-cve id
minimum,O
Made,I-application
virtio-blk,O
struts-cookbook/processDyna.do,B-file
ASRE83PPVH,O
yasslEWS.c,B-file
6.4.1.3,I-version
easily,O
Various,O
06-00,B-version
4.0.1.009,B-version
IvanView,B-application
listFaqs,O
7.0,B-version
admin/editor,O
tibbr,B-application
6.55,B-version
Proxy,I-vendor
CMshtmlEd::Exec,B-function
HP-UX,B-application
Linux,B-os
SmarTeam,I-application
BGP,O
YAML,O
Featurific,B-application
0.8.7g,I-version
0.28,B-version
UUPlayer,B-application
CVE-2011-4114,B-cve id
app/models/spree/user.rb,B-file
0.5.3,I-version
admin/group_plans.html,B-file
GetMarkupPtr,O
lib.php,O
file-manager/,O
CVE-2011-3362,B-cve id
9.8.5,B-version
components/select.inc,B-file
DMTGUI2.EXE,O
bsd_glob,B-function
Sequence,O
CSipSimple,O
fdx,O
3.3-rc2,B-version
_blank,O
17.0.963.27,I-version
56906,O
Ease,B-application
smb/app/available/id/apscatalog/,O
cm,O
bstrUrl,B-parameter
3.5.7,I-version
F9K1105V2,B-version
dereferenced,O
CNS-1000,B-hardware
DIRAPI,O
3.5.2S,I-version
T26,O
InstallTrigger,B-method
Trial,B-update
SubStation,O
rule-separator,O
ASU,O
Custom,I-application
presented,B-update
9.7(3)S11,I-version
9.6.2-P3,I-version
libavcodec/alsdec.c,B-file
SCCP,O
restrictive,O
3.0.852,I-version
login/change_password.php,B-file
2012-03.08,B-version
3.0.4,I-version
ZeroClipboard10.swf,O
sql_statement,B-parameter
GForge,B-application
e-Manager,B-version
PlayBook,I-hardware
RTU,I-application
r86862,I-version
com_xobbix,O
Lyftenbloggie,O
"8.0(4.44),",I-version
tagging,O
7.36,B-version
CVE-2011-3983,B-cve id
oc-includes/osclass/core/Params.php,B-file
messaging,B-application
mod_pagespeed,O
RemoveUserRegardless,B-method
Payflow,I-application
3.2.xS,B-version
tgt,B-application
CVE-2010-2181,B-cve id
kernel/taskstats.c,B-file
connection.xml,O
browsers,O
2.0.04,I-version
date_info,B-parameter
drivers,O
ZDI-CAN-1646,O
sandbox/src/crosscall_server.cc,B-file
plug-in,B-version
2012,B-version
7.1(3a)su1,I-version
tvc,O
P4xxx,I-hardware
Application,I-application
_ctl_diag_read_buffer,B-function
CVE-2012-4906,B-cve id
Flex,B-hardware
revocation-status,O
3.4.1,I-version
meta_key,O
enclosed,O
12,I-version
"4.2(1)SV1(5.1),",I-version
0.3.4,B-version
REPORT,I-application
Protect,I-version
0xA,B-version
epan/dissectors/packet-afp.c,B-file
denied,O
0.38,B-version
Gateway,B-application
CVE-2012-0118,B-cve id
CVE-2009-3671,B-cve id
v1.13,B-version
CVE-2011-0049,B-cve id
devtmpfs,O
PHPJabbers,B-vendor
X3,B-version
X7.0.1,I-version
addressbook/register/traffic.php,B-file
6.1.5.0,B-version
build,I-update
MergeCells,O
Xfig,B-application
Report,B-application
decode_credentials,B-method
PL2,B-update
Shockwave3DAsset,B-application
2.0.5.6,I-version
CC,O
SignedParts,O
Cognos,O
eSolar,B-hardware
Chip,B-vendor
InduSoft,B-vendor
MultiBlock,B-application
CVE-2010-4562,B-cve id
1.18,B-version
TP-LINK,B-vendor
Extension,I-application
since,O
TripAdvisor,B-application
Setup/Controllers/IndexController.php,B-file
1.7.2,B-version
95.php,B-version
CSCsv86113,O
10.0.11,I-version
modules/groups/addgroupform.php,B-file
2.5.6.SEC03,I-version
GS45,O
Intelligence,O
notes/edit.php,B-file
PostMessage,B-function
VBA32,B-application
cplphoto.php,O
Trillian,B-application
NAB,O
3.6.0.6090,I-version
tache.class.php,O
1.0.19.0,I-version
G.CMS,B-application
dompdf,B-application
9.3.0,I-version
ILOG,I-application
paging,O
1842,O
cgtexttops,O
queue-manager,O
is_a,B-function
25xxN,B-hardware
vma_to_resize,B-function
products_details.php,O
saveitem,O
pyftpdlib,B-application
SonicWall,B-application
iacenc.dll,B-file
Translation,I-application
Revelation,B-application
12.0.6,B-version
IA-64,O
"ip_addr[0][2],",O
8.2.5,I-version
CLOSED,O
Alerts,I-application
IDE_ACDStd.apl,O
Technician,I-application
"8.2(1.10),",I-version
SocialCMS,B-application
CN-WF512,B-hardware
arithmetic,O
sys/fs/nfsserver/nfs_nfsdport.c,B-file
src/opus_decoder.c,B-file
SessionTicket,O
3.3.0.1,B-version
413,O
Factor,O
BI+,B-application
3.1.15,I-version
Payments,B-application
Opera,B-application
Validation,I-relevant_term
T656,B-hardware
"8.3(2.34),",I-version
jsp/ThresholdActionConfiguration.jsp,B-file
MJPEG-B,O
Hotel,B-application
due,O
PYTHONPATH,O
DigiLIBE,B-application
gem,I-application
maxImageUpload/index.php,B-file
Import,I-application
12.1.2,B-version
addlimit.asp,O
"""/0",O
libavfilter/avfilter.c,B-file
ReserveLogic,B-application
neoaxis_web_application_win32.zip,O
dns,O
CVE-2012-2410,B-cve id
vicious-extensions/ve-misc.c,B-file
5.2(2.1,I-version
CVE-2013-2420,B-cve id
3.43-9,B-version
redirectURL,B-parameter
addressbook/register/delete_user.php,B-file
illumos,O
bbs/tb.php,B-file
S1,B-version
Listing,I-application
pyfribidi.c,B-file
cms_write.php,O
1.14.5,I-version
20.0.1132.22,I-version
JoomlaTune,B-vendor
CVE-2012-4161,B-cve id
switch,I-hardware
Roundup,B-application
Wicket,B-application
2.0.6,B-version
Google,B-application
live.com,O
HttpTunnel,O
10.3.181.23,B-version
"trunks/,",O
BkPixPat,O
4.3.1.0218,I-version
4.2.0-P2,I-version
11.6,B-version
1.2-1,B-version
2.08,B-version
user-provided,O
lib/rexml/text.rb,B-file
tiki-featured_link.php,O
operator,O
igb_receive_skb,B-function
1.4.15,I-version
CVE-2009-4882,B-cve id
evaluates,O
sudo_debug,B-function
ELS,I-application
Quassel,B-application
CSCtz26985,O
Organic,B-application
1.2.20,B-version
siparis.mdb,O
UCMobile,B-application
read_from_cmd_socket,B-function
ega_1,B-parameter
Attack,B-relevant_term
ForumPress,O
populates,O
defects,O
nsSOCKSSocketInfo::ConnectToProxy,B-function
os,O
programmer.exe,O
BS.Player,B-application
control/ContentController.php,B-file
Central,I-application
Heartlogic,B-vendor
Portal,I-hardware
WordPress,O
server_banner,O
1.0.23,I-version
l2cap_config_req,B-function
2.24.0,I-version
plugins/signup_captcha/signup_captcha.php,B-file
libraries/sqlparser.lib.php,B-file
html/index_main.htm,B-file
snd_usb_caiaq_audio_init,B-function
iTop,B-application
Curl_sasl_create_digest_md5_message,B-function
GFN,O
mount.ecryptfs_private,O
drivers/net/xen-netback/netback.c,B-file
system-defined,O
1.1-ea,B-version
relocate_dir,B-function
service-account,O
1.11.1,I-version
8.1.2,I-version
sources/search.php,B-file
reports-config-by-monitor.asp,O
photograph,O
alternatives,O
FTP,B-application
templates/newspaper/layout.php,B-file
fiche.php,O
out/out.RemoveVersion.php,B-file
X7968,B-hardware
International,B-application
1.7.10,B-version
lib/rfc1035.c,B-file
searchText,B-parameter
Business,B-edition
TopicID,B-parameter
Openswan,B-application
Practical,I-vendor
11.6.1.629,I-version
"Vulnerability,""",O
Study,O
Ada,B-application
MDXTUPLE,O
ODG,O
Call,B-application
1.0.0a,I-version
component,I-application
ensuring,O
tools/syslogd.c,B-file
invalidating,O
tools/tiff2pdf.c,B-file
nipplib.dll,B-file
Object,B-application
Activism,B-application
templatesAE.asp,O
Fabric,B-application
ext/standard/browscap.c,B-file
SaveToFile,B-method
1.16.4,I-version
s60,O
Stock,I-application
Export,B-application
SumatraPDF,B-application
date_format_string,B-parameter
THP,O
chatstart[USERTOID,O
MP5,B-update
2.0.12,B-version
Unity,B-application
Deviant,B-application
1.0.58,I-version
4.10b,B-version
CommenterURL,B-parameter
8060,B-version
Classes/Controller/AbstractController.php,B-file
common/logger.py,B-file
vqa_decode_chunk,B-function
Optima,B-application
SecurStar,B-vendor
do_block_io_op,B-function
M,I-hardware
Connected,B-application
arch/arm/kernel/sys_oabi-compat.c,B-file
Tokens,I-application
MySQLDumper,B-application
3.5.3,B-version
SUSE,B-vendor
0xFFFFFFF8,B-version
5.7,I-version
10.6.6,B-version
Visualization,B-application
p_profile.c,B-file
4.8.x,B-version
physically,O
lib/fsm.c,B-file
Energizer,B-vendor
11.6.3.633,I-version
ospfd,O
2.6.36-rc6,I-version
Protection,I-hardware
N4000,B-hardware
10.1.0.6,B-version
CVE-2011-0567,B-cve id
Agent-Handler,B-application
inc/Faq.php,B-file
12.13,I-version
refuse,O
4.9.1.2,I-version
in-the-wild,O
9.4,I-version
AzeoTech,B-vendor
0.96.4,B-version
Di-604,B-hardware
crypto/buffer/buffer.c,B-file
wp-includes/js/swfobject.js,B-file
triggering,O
Licensing,I-application
legacy,O
g_str_hash,B-function
gnutls_x509_crt_get_serial,B-function
Almnzm,B-application
"IIS),",O
BS.Player,I-version
help.php,O
Modicon,B-hardware
2.0.1.2,B-version
prototype,O
ptrace_setxregs,B-function
translator,O
ez,B-application
userenv.dll,O
2.2.5,I-version
Automated,O
10.3.2.0,B-version
/tmp/ib_set_node_desc.sh,B-file
5.50.x,B-version
ThinkManagement,O
extensive,O
Sourcing,I-application
devolves,O
AddToAny,B-application
1.2.45,I-version
HmiLoad,O
24.0.1312.56,I-version
LWRES,O
11.1.1.6.0,B-version
presenter,B-update
CVE-2010-1448,B-cve id
7424,B-version
libarchive,B-application
Cumin,B-application
Groovy,B-application
LightDM,B-application
CVE-2009-3909,B-cve id
Adapter,I-hardware
Request,I-application
sk_add_backlog,B-function
av,O
Prewikka,B-application
CSCtz30468,O
FT2FontEntry::CreateFontEntry,B-function
6.0.5.3,B-version
view_memo.php,O
cm_group,B-parameter
MediaDBPlayback.DLL,O
Portal,B-application
mwc,O
ad_ID,B-parameter
compression-pointer,O
3.5.841,I-version
osf_sysinfo,B-function
1.0.8.1,B-version
inc/filefunctions.inc,B-file
Hashcash,B-application
1.6,B-version
7.1.1.3,B-version
6.4.0,I-version
4.80,I-version
console/adminSecurityDetail.do,B-file
network,O
VideoSpirit,B-application
3.6.7,B-version
inotify_init1,B-function
shmem_remount_fs,B-function
ext/xmlrpc/libxmlrpc/base64.c,B-file
filesystem/File.php,B-file
Technical,I-application
moodle1,O
PTRACE_GETREGSET,O
NCT,B-application
awcm_theme,O
Options,O
14.0.835.157,I-version
Crowd,B-application
BBSMAX,B-application
includes/templates/template_default/templates/tpl_gv_send_default.php,B-file
Certificate,I-application
RoundCube,B-application
445,O
Unreal3.2.8.1.tar.gz,O
SamsungDive,B-application
PriceTo,O
wikiUserID,O
baseman.dll,O
11.3.300.271,I-version
