token,tag
১৯৬৮,TIME
পারলেন,OBJ
অধ্যাপক/শিক্ষক,PER
তেল শোধনাগার,OBJ
39948,NUM
রজার্স,PER
কার্যকরী,OBJ
পূর্বধলা,LOC
২৬৯৫৯৭৯,NUM
+8801355477028,PHN
খাওয়াতে,OBJ
তামার,OBJ
সর্বকালের,OBJ
১৫,NUM
অরম,ORG
বড়রাও,PER
লবণের,OBJ
আসুস,ORG
৪৮৬৯৬১৭৯৭,NUM
সেক্রেটারিরা,OBJ
বর্ষার,PER
নাস্তিক্যবাদ,PER
পরিচিতি,OBJ
+8801312173829,PHN
নিরঙ্কুশ,OBJ
পূর্ব-পশ্চিমে,LOC
+8801898488883,PHN
নবাবের,PER
কোবরা ক্রিকেটার প্রদেশ,LOC
হলতাগুলিশাখালী,LOC
বিজ্ঞান,ORG
+৮৮০১৩২১৬১০৭২৮,PHN
+8801653210133,PHN
+৮৮০১৮৪৮০২৬৫৪৬,PHN
বালাপাড়া,LOC
ফসলহানিতে,OBJ
৯৬৩,NUM
শারফিন,PER
আছড়ে,OBJ
মেগ,PER
পূর্বাংশে ইলিয়টগঞ্জ,LOC
করেও,OBJ
আচরণবিধি,OBJ
+8801797090467,PHN
জনমনে,OBJ
+৮৮০১৮০০১৬৮১১০,PHN
সাইদ,PER
চিৎলা,LOC
ডিপার্টমেন্ট,ORG
অ্যামির,ORG
এইটের,OBJ
+8801752306249,PHN
+8801865823106,PHN
সাহার,PER
নিক্ষেপেই,OBJ
১৫৯৪১৫৪৫৭,NUM
কাকরকান্দি,LOC
তারদা,LOC
২১/১০/১৯১৬,TIME
+8801408964229,PHN
সুরজেওয়ালা,PER
বুরহান,PER
মগর গ্রামে,LOC
1919,NUM
+৮৮০১৮৭৫৯১৮৯৯৪,PHN
জাহেদের,PER
লিনিয়ান সোসাইটির,ORG
১৬-৬-১৮৬৮,TIME
+8801657007020,PHN
বয়স,OBJ
এ্যাপ্রেনটিচশিপের,OBJ
গান্ধীজিকে,PER
প্রযোজনার,PER
বাংলাদেশ জাতীয় জোট,ORG
রান্নার,OBJ
72972,NUM
বিভূতিসুন্দর,PER
মেছড়া,LOC
জিওসুয়ে,PER
টিটিসিবি লিওয়ার্ড আইল্যান্ডস,ORG
এরদোয়ান,PER
শানাজ,PER
শুভব্রতের,PER
মার্টিন,PER
অবিস্মরণীয়,OBJ
বাবু পুলক দত্ত,PER
উইলিয়াম,PER
লুব্ধক,PER
শে,OBJ
62051,NUM
স্যান্ডি,PER
27/03/1991,TIME
৪৯১৪৩৮,NUM
12/01/1938,TIME
80567,NUM
13223,NUM
রিতা চৌধুরী জনসন,PER
এড ক্যামব্রিজ ইউনিভার্সিটি,ORG
হেনরিচ বোলিঙ্গনার,PER
অ্যাটনবারার,PER
মুরাদনগর উপজেলার দক্ষিণাংশে,LOC
দক্ষিন,LOC
জগাছা,LOC
নওশাবা,PER
ওয়েস্টারহল্টের,PER
মাসিক,OBJ
64091,NUM
ওয়ারসেস্টারে,LOC
চাই—কারা,OBJ
৩২৮৮৯৮৯,NUM
কাতালান কোম্পানী,ORG
ইয়েল,ORG
১৫/৮/১৯৬৩,TIME
বুদাপেস্ট,LOC
ফ্র্যাঙ্ক ওয়েস্টব্রুক,PER
+8801426351911,PHN
২১২১৪৮,NUM
৪৪৩৬১৩,NUM
রাশেদের,PER
লালজান,PER
স্মিতা,PER
চেরিল,PER
সুরিনামি,LOC
সোলজার,ORG
সামসুজ্জামানের,PER
উলফ,PER
09:22:26,TIME
+8801621871888,PHN
ইরাব,PER
81455,NUM
08:05:00,TIME
পরিবর্তনেরও,OBJ
+৮৮০১৭৮৭৬৯৭১৫৬,PHN
22:30:23,TIME
+৮৮০১৩৩৫৩৫৮৫৬৪,PHN
প্রয়োজন,OBJ
+8801424819306,PHN
93196,NUM
মাধব,LOC
গাইডের,OBJ
1558,NUM
রাথেডাংয়ে,LOC
ইয়ন,PER
+8801950921191,PHN
শাহজালালসহ,PER
31383,NUM
অ্যান্টি,ORG
দক্ষিণ পশ্চিম স্লোভাকিয়াতে,LOC
আইনজীবী,OBJ
10306,NUM
লাপা এলাকার,LOC
পাঞ্জাব পাকিস্তানের,LOC
সান্দিকোণা,LOC
রাজেশ,PER
মুসল্লি,OBJ
য়েলেনা,PER
দক্ষিণপূর্ব ইউরোপজুড়ে,LOC
শুনিনি,OBJ
২৮/৩/১৯৭৩,TIME
ফারুকীর,PER
+8801793106660,PHN
বইয়ের,OBJ
ইয়াংশাই দ্বীপ,LOC
2016,NUM
কার্ডিফ,PER
ক্যানবেরি সস,OBJ
করিপুর-১,LOC
লেখকের,OBJ
কাপে,OBJ
বানিয়েছে,OBJ
মুদাসসার আজিজ,PER
22/08/2080,TIME
হ্যারল্ড পিনস্কারের,PER
25/09/2070,TIME
04:44:30,TIME
+8801475456711,PHN
লিসবন,LOC
সোস্যাল ইসলামী ব্যাংক,ORG
কবিতা,PER
কিবরিয়া,PER
হটছেন,OBJ
+৮৮০১৬৩০২২২৪৮৪,PHN
রূপসা কলেজ,ORG
+৮৮০১৬২৭৬৮১৪৮৯,PHN
৯১৩,NUM
24/01/2095,TIME
সোনাইমুড়ী,LOC
সিলেটকে,LOC
নলচিরা,LOC
নিউইয়র্কের,LOC
সংযুক্ত আরব আমিরাত,LOC
১৪-৪-১৯১৯,TIME
আইনজীবীরা,PER
১৮-৬-১৯১০,TIME
রাঘব,OBJ
নড়াইলসহ,LOC
ত্বাসীন,PER
17:32:16,TIME
রয়েল অ্যাকাডেমি অব আর্ট,ORG
রাহুল কোয়েল মল্লিক,PER
1880,NUM
ফারহানা,PER
গৌরীপুর,LOC
স্রমাজ্ঞী,PER
কস্তুরবাঈ গান্ধী,PER
১৯/৭/২০৮৯,TIME
বিদায়,OBJ
পণ্যসম্ভারের,OBJ
এলভিন,PER
ব্যান্ডদের,ORG
আমান,PER
৩৪৫,NUM
সাংবাদিকতার,OBJ
৮-৬-২০০৫,TIME
ধরনেই,OBJ
বাহাদুরের,PER
তৈযব,PER
৭/১/১৮৮৪,TIME
কুমিল্লা শিক্ষাবোর্ড,ORG
ট্রান্সপোর্ট,ORG
কালির পাত্র,OBJ
৪-১-২০৩৬,TIME
ভানুগাছ,LOC
গণতান্ত্রিক কম্পুচিয়ার,ORG
ভেতরের,OBJ
অফ,LOC
গাড়িরও,OBJ
রামগোপাল ঘোষের,PER
মঙ্গলহাটা,LOC
সাইলেসিয়ার,LOC
১৪৩১৮,NUM
বিতাড়নকে,OBJ
আখতাবের,PER
+8801926633488,PHN
37570,NUM
11:44:53,TIME
বুশকেও,PER
তাকাইয়া,OBJ
ছিঁড়তে,OBJ
+8801831695219,PHN
17:12:31,TIME
জেসুইট বিদ্যালয় বিদ্যালয়,ORG
মুকসুদ,PER
আপনারাও,PER
09/04/2051,TIME
অক্সফোর্ড ইউনাইটেড,ORG
লাতিন কলোনিয়া,LOC
53662,NUM
নিউ জার্সির মন্টক্লেয়ারে,LOC
যজুর্বিন্দ্র সিং,PER
উস সালাম হাই,PER
মেরিল,ORG
64898,NUM
01/01/1928,TIME
৭/১/২০০১,TIME
বায়ার্ন,ORG
কৃত্তিপাশা,LOC
সহয়তার,OBJ
67172,NUM
06/05/1909,TIME
কর্পোরেশন,ORG
+8801635579327,PHN
তৃতীয়শ্চ,OBJ
14:45:52,TIME
বসত-ভিটা,LOC
+8801304621615,PHN
সুষেণ,PER
ক্যাসাব্লাঙ্কা,LOC
ডিপার্টমেন্টাল,OBJ
আনুষ্ঠানিকতা,OBJ
সবসময়ে,OBJ
অনিশ্চয়তা,OBJ
সিওয়ালিক,LOC
৮৩১৩৬৩৮৮,NUM
রসুলপর,LOC
মোহা,OBJ
পাদ্রীদের,PER
21:08:12,TIME
প্রেসিং,OBJ
ভাটিখাইন,LOC
বায়ুসেনা,ORG
পয়েন্টেও,OBJ
গ্রেগ,OBJ
ঝালকাঠি সরকারি কলেজ,ORG
কেন্দ্রে,ORG
নূহু,PER
রিয়াজ্জুজামান,PER
শার্টের,OBJ
ইসলাম-এর,PER
বেগম ওম হাবিবাহ,PER
64858,NUM
+৮৮০১৭০৭৩৫০৬৯০,PHN
17137,NUM
+8801723204616,PHN
লিয়ার,PER
চলেছি,OBJ
সীমানা মার্টিন,PER
১৪-১০-১৮৬৮,TIME
+৮৮০১৩৩৪২৮১৮৭১,PHN
মুনতাসীর,PER
ডাকযোগে,OBJ
+৮৮০১৪২৬০২৩৩৮০,PHN
মিশরবাসীটিই,PER
হরিণ,OBJ
ওয়াকার,PER
রউফ,PER
৭১,NUM
ঋণগ্রহীতাদের,PER
এলার্জির,OBJ
+৮৮০১৩৭৮৮৮২৩৯৯,PHN
+8801939842379,PHN
লালমনিরহাট,ORG
গৃহবধূকে,OBJ
দেওড়া,LOC
গরম,OBJ
45529,NUM
৩৯১১১৮২২৭,NUM
২৭৬২৫১৬৫,NUM
57475,NUM
রাশিকরা,PER
ঘটনাবলীকে,OBJ
ড্যাভিড,PER
আরসা,OBJ
লেনদেনও,OBJ
প্রাণরক্ষায়,OBJ
বিজ্ঞানী,PER
52910,NUM
জিলান,LOC
Titovo,PER
শোভনের,PER
আসামির,OBJ
+৮৮০১৩৯১১১৫০৭৪,PHN
বন্যহাতি,OBJ
+8801721359674,PHN
+৮৮০১৯৭০৫৭৫৬৪০,PHN
12/10/1969,TIME
30/04/2084,TIME
ডৌকারচর,LOC
23/03/2016,TIME
কোশল,LOC
২২-১২-১৮৯৩,TIME
+8801370045371,PHN
+৮৮০১৬৩৯২১৬৭৮৬,PHN
চড়ার,OBJ
রুবি,PER
বাউন্সার,OBJ
দশম,PER
১৯-৩-২০৪৬,TIME
চাপড়া-২,LOC
লোকিকে,PER
28426,NUM
ছয়,TIME
+8801565484118,PHN
+৮৮০১৬৬১৬৬১৯৫৭,PHN
মহাস্থানগড়ের,LOC
মাথার,OBJ
হাওরটি,LOC
বেলেপাথর,OBJ
23:54:30,TIME
+8801703638154,PHN
+8801539801082,PHN
এডিমে-র,LOC
+৮৮০১৫৬৩১৪৩৮৮৯,PHN
কুয়াকাটার,LOC
+8801500035965,PHN
গতিই,OBJ
ঐশ্বরিয়াকে,PER
২,ORG
+8801778999962,PHN
ইসমাইল,PER
ভাগ,OBJ
মন্দোদরীকে,PER
৩-৬-২০৭৭,TIME
+৮৮০১৮৬৫৮৩৭০৮৫,PHN
20:43:44,TIME
34199,NUM
26143,NUM
বঙ্গবন্ধু প্রাথমিক বিদ্যালয়,ORG
নিঃশর্ত,OBJ
কলিজিয়ামে,LOC
গর্জনিয়া ইসলামিয়া আলিম মাদ্রাসা,ORG
ফরদৌস,PER
52316,NUM
19:43:19,TIME
হকিও,OBJ
+8801820089696,PHN
রাইট,OBJ
06/02/1911,TIME
+8801775338200,PHN
নিশিকোরির,PER
২৭-৫-১৯০৫,TIME
পাইকপাড়ার,LOC
বাংলাকে,LOC
ধাতব পদার্থ,OBJ
৪,NUM
রশীদকে,PER
ওরুজগন,LOC
কাদীদ,LOC
এক্টর,OBJ
+8801835545778,PHN
কল্যাণপুর,LOC
বিকালে,TIME
ফরফরিয়া গ্রামে,LOC
চান্দ্রা,LOC
‌স্বপ্নেও,OBJ
যুবলীগ,OBJ
খালাতো,OBJ
ইওয়েরি মুসেভেনি ন্যাশনাল রেজিস্ট্যান্স আর্মি,ORG
যুগে,LOC
সিদ্দিকুল,PER
৬২৯৯১২৬২,NUM
রোহিঙ্গা,OBJ
ক্রিসও,PER
আক্রান্তদের,OBJ
নির্বাচক,OBJ
লারিসায়,LOC
+8801925953427,PHN
দেওয়ান ভি টি,PER
জুভেন্তাসে,ORG
হিব্রু স্কুলে,ORG
29/12/1949,TIME
লালখানবাজার,LOC
বইতে,OBJ
টেলিছবিসহ,OBJ
22:38:54,TIME
যাঁদের,OBJ
বিশৃঙ্খল,OBJ
12/05/1968,TIME
৮৫৮৬১১৪৫৫,NUM
১৩১৯৪৮৩২,NUM
গাজিপুর,LOC
গ্রিস,LOC
হোটেল,ORG
সেন্ট্রাল ককেশাসিয়াস,PER
গ্লাসগো,ORG
কর্তৃত্বপরায়ণদের,OBJ
ওয়ারাকা,PER
49377,NUM
+৮৮০১৫১৫৪৬৯৮৫১,PHN
শিক্ষার্থীকেই,OBJ
২২/১/২০৬০,TIME
১৩-১০-১৯০৭,TIME
+8801390548382,PHN
কৈলাসটিলা,LOC
কম্প্রোমাইজ,OBJ
59063,NUM
ওড়ায়,OBJ
পাটকল অধিদপ্তর,ORG
ব্র্যাগ,ORG
ছেলেকে,LOC
ভাঙ্গিপুরাপ্পু,PER
দীঘ,LOC
+8801546257452,PHN
রেলও,OBJ
গ্রহীতা,PER
সংবাদের,ORG
উত্তম,PER
5729,NUM
জোড্ডা,LOC
ভানদের,LOC
৯-৫-১৯৯৮,TIME
প্রত্যেকবারই,OBJ
বাকিরাও,PER
কেওড়া,LOC
৯,NUM
বাবা ফরিদ শহরে,LOC
সাধারণ ওয়েবসাইট টাইমস,ORG
লিভা,PER
গির্জাতে,LOC
৩২৮,NUM
সনাতন,ORG
কৃষক প্রজা পার্টির,ORG
সাও জর্জ দ্বীপপুঞ্জের,LOC
প্রার্থীসহ,PER
রাষ্ট্র,ORG
চন্ডিপুর,LOC
কিসিঞ্জার,PER
অধিকারীকে,PER
মিয়ার,PER
ফারসির,PER
দামোদরপুর,LOC
সম্মিলিত,OBJ
ওঠা,OBJ
সাঁতারুদের,PER
সেলফ-টাইটেলড,ORG
দর্শক,OBJ
+8801877562428,PHN
২২১২৪,NUM
গড়াই-মধুমতী,LOC
৬৮২৪৭১৬৪,NUM
+8801885137859,PHN
লাগানোরও,OBJ
+8801787860888,PHN
১৯/৮/২০২৪,TIME
ব্রেইনস,ORG
১৫-১০-২০৪৪,TIME
পূর্বে মুন্সিগঞ্জ সদর উপজেলা,LOC
+৮৮০১৩৪১৪৮০৪৩৬,PHN
মার্ক,ORG
+৮৮০১৫৬৯৯২৫৯৮৯,PHN
বন্যহাতির,OBJ
প্রসঙ্গটির,OBJ
ন্যাশনাল ডেভেলপমেন্ট পার্টির,ORG
২৩-১০-১৮৮৫,TIME
মধ্যনগর,OBJ
+৮৮০১৪২৯২২৭৪১৩,PHN
মিরবো জিন লরেইন,PER
+৮৮০১৭৪৩৬২৯৪৩২,PHN
ইস্টার্ন,ORG
ছনকুমার,PER
দোড়া,LOC
৫১৮,NUM
ষড়যন্ত্রকারী,PER
সুপ্রিমো কাদান্নাপালী রামচন্দ্রনকে,PER
অলক,PER
রাশির,OBJ
ভোগান্তিও,OBJ
+8801767977691,PHN
+৮৮০১৯২৪৮৩৪৯২৩,PHN
BCMM,ORG
পল­বী,LOC
57064,NUM
আমুলিয়া,LOC
+৮৮০১৬৪৫৮৪৩৯৭৫,PHN
দুইশ,OBJ
+8801681636528,PHN
প্রশস্তিবাক্য,OBJ
+8801934829720,PHN
13/03/2007,TIME
সুখবাসপুর দীঘি সোনারংয়ের,LOC
+8801862759596,PHN
৪/৮/২০৭৬,TIME
গাইয়া,ORG
সংযুক্তিতে,OBJ
দোগাছী,LOC
হিরণ,LOC
ফলোঅনে,OBJ
বন্দোবস্তটাকে,OBJ
সাঁও গ্যাব্রিয়েল,OBJ
ফাওলার,PER
বিদ্যালয়টি,ORG
18/10/2094,TIME
+৮৮০১৬৩০৮৫৭৫১৯,PHN
জুভেন্টাসের,LOC
91940,NUM
২৯৭২৬৫৪,NUM
পরিত্যক্তাদেরকেও,OBJ
উচ্চবেতনের,OBJ
54887,NUM
বিরুদ্ধে,OBJ
কংগ্রেস,OBJ
বেলের,PER
+8801433276702,PHN
অজয় আদিত্য শ্রীবাস্তব,PER
+8801733224920,PHN
সোনাদিয়া বন্দর,LOC
ক্ষুধায়,OBJ
শুকলাল,PER
বিরামপুরের,LOC
বিয়র্নসেন,PER
২২-১১-১৯৪৭,TIME
রেইউনিয়ান,LOC
১-২-১৯৪২,TIME
মাদ্রাসাসমূহে,ORG
প্রশিক্ষণ,OBJ
সাহেবে,PER
৩-১১-১৮৩৫,TIME
15:43:21,TIME
48771,NUM
পূর্বপরিকল্পিত,OBJ
কিউয়াক্টা,LOC
আবেদনপত্র,OBJ
তর্কবাগীশ বিজ্ঞান মাদ্রাসা,ORG
14/04/2069,TIME
09/10/1985,TIME
হিউম,PER
+৮৮০১৪২১৯৩২৬৩৯,PHN
প্রক্রিয়াকে,OBJ
শ্যামাপ্রসাদ মুখোপাধ্যায়,PER
বকশিগঞ্জ,LOC
84137,NUM
আফছার,PER
আব্দুর,ORG
+8801951411710,PHN
86529,NUM
97982,NUM
19/04/2019,TIME
87910,NUM
ডাল,PER
ঘানির,OBJ
জি চার্চ স্কুলে,ORG
আসাম,LOC
ডেরিক ভ্যান বুমেল,PER
চুকাইবাড়ি ইউনিয়ন,LOC
ইশতিয়াক আহমেদ,PER
বিরোধীদলীয়,OBJ
৩-১১-২০৮১,TIME
+8801682434675,PHN
95408,NUM
ইতালি,PER
কলাগাছের,OBJ
মো,PER
উট,PER
২৭-১২-২০২২,TIME
26/12/2031,TIME
পৃথিবীব্যাপী,LOC
11:40:58,TIME
+৮৮০১৩৬৩০২৬৯৭৫,PHN
জে এম গার্সিয়া,PER
মধুমিতা,PER
+8801965323459,PHN
ফ্যানদের,PER
সরকারও,OBJ
১৫/৪/১৯২৯,TIME
অর্ধ,OBJ
মার্সেল,PER
১২-৬-২০০০,TIME
আর্মেনিয়ার,LOC
বস্তিবাসী,PER
উননেছা,PER
ইউভেন্তুস,OBJ
আবিদা,PER
স্যার আরচিবল্ড হান্টার,PER
১৯৪৪,TIME
হলঘরে,OBJ
মুথগদ্দম পার্টির,ORG
+৮৮০১৩৭৩৪৬০৫৯৩,PHN
23:32:47,TIME
৮৯৮৪৭৩৫৮,NUM
23/08/2012,TIME
শামছুর,PER
+8801327029177,PHN
কিশোর-কিশোরীদের,PER
সাবরিনা,PER
90686,NUM
নিমইল,LOC
প্রস্তাবনা,OBJ
জুয়াড়ির,OBJ
খালিয়াজুরিকে,LOC
ঢলে,OBJ
50040,NUM
+৮৮০১৩০৪৬৩৬৭৫৪,PHN
সার্জেন্ট,OBJ
স্কুলকে,ORG
+8801368207750,PHN
+৮৮০১৫৯৭৭৮২৪৩৩,PHN
প্রশাসনে,ORG
শাকিবের,PER
গ্যারেজের,OBJ
রেজিমেন্টে,ORG
+8801516436515,PHN
১,NUM
অধিকার,ORG
সাদি,PER
বিটন,PER
করেছি,OBJ
হালদারের,PER
16/12/2013,TIME
+৮৮০১৮৬২৩৯২৮১৮,PHN
মিউজিয়াম-এ,LOC
ইতালীর,LOC
রূপকার্থে,OBJ
শিখরা,PER
মুরালিধরনের,PER
ছয়গাঁও,LOC
ভিক্টোরিয়ার,LOC
তীব্র,OBJ
পেইজের,PER
শৌচাগার,OBJ
85023,NUM
কিলিয়ান,PER
১০/৭/২০৫৫,TIME
করিবার,OBJ
06/03/1907,TIME
ভেনাস,PER
দলিলাদি,OBJ
১১-৪-১৯৭৬,TIME
গ্যারাজের,OBJ
সালে,PER
সফটওয়্যার,ORG
23:14:00,TIME
৫১৩৪৮,NUM
+৮৮০১৫০০৬২৪২১২,PHN
২৬-৬-২০৩৯,TIME
+8801453716892,PHN
05/11/1982,TIME
৮১,NUM
05/10/1995,TIME
58935,NUM
ভিক্টোরিয়া হাইস্কুল,ORG
or,OBJ
বৃষ্টি,OBJ
49063,NUM
কুড়িগ্রাম জেলায়,LOC
ঝরছে,OBJ
00:01:20,TIME
+8801640599979,PHN
+8801598661842,PHN
বিহারে,ORG
03/10/2020,TIME
১১-১০-১৮৪৮,TIME
স্টার,OBJ
জীবনটাই,OBJ
মার্ক্সের,LOC
১৬/৭/১৭৭০,TIME
প্রতিবস্তা,OBJ
আটকে,OBJ
জগন্নাথপুরের পাণ্ডুয়া রাজ্য,LOC
দেখবার,OBJ
বেনেটের,PER
জ্যোতিষীদের,PER
+8801587431587,PHN
+8801968257558,PHN
সাঁ,PER
স্কুল ইস্টবোর্নের,ORG
আবাসিক স্কুলে,ORG
বাড়েনি,OBJ
সেন,PER
ডন কোম্পানি,ORG
ইদ্রাকপুর উচ্চ বিদ্যালয়,ORG
রসায়নকে,OBJ
20/11/2066,TIME
বাংলাদেশ’,LOC
মিলিটারিরা,PER
১৩/২/১৯৮০,TIME
কেয়াইন,LOC
দোয়ারাবাজার,LOC
বালিথুবা (পশ্চিম),LOC
নগরী,OBJ
হরিয়ানা,LOC
পূর্বে টাংগাইল জেলার,LOC
ইউটিউবে,ORG
অংশটুকু,OBJ
সেন্ট্রাল পার্ক,LOC
+8801642360968,PHN
23:44:16,TIME
+8801763043537,PHN
66558,NUM
নিবেদন,OBJ
+8801532975118,PHN
+8801377837728,PHN
সন্ত্রাসীকে,PER
বক্তা,PER
বার্নাব্যুর,PER
06:49:38,TIME
রেলওয়ে,OBJ
উপকণ্ঠের,OBJ
+৮৮০১৩৩৬৪৭৩৪৮৮,PHN
ওথাইমিন,PER
আব্বাসীয়,LOC
খাওয়াই,OBJ
কি-বোর্ডিস্ট,PER
14:30:48,TIME
রঙ্গনা,PER
২,NUM
অনেককেই,PER
মধ্যাহ্নবিরতির,OBJ
51919,NUM
রাগের,OBJ
84323,NUM
ভলিতে,OBJ
ধর্মমন্ত্রী,PER
ধাতাউ,LOC
+৮৮০১৬০৯৬২৪৭১০,PHN
জ্ঞান,PER
+৮৮০১৮৮৭১৫৫৯১০,PHN
মাধবদী,LOC
08/06/2073,TIME
এয়ারটন,PER
শোর,ORG
জ্যেষ্ঠ পুত্র খলীফা,PER
সম্রাটে,PER
পত্রিকায়,ORG
ব্রাঞ্জ,LOC
নব,OBJ
হলদিয়া,LOC
আবৃত্তিকার,PER
চাঁদপুর,LOC
পোস্তগোলায়,OBJ
পাটচাষি,PER
15/11/1977,TIME
অতিবৃদ্ধপ্রপিতামহঃ,OBJ
পরিদর্শনে,OBJ
ভার্জিলিও,PER
দুটোকে,OBJ
শিশুটিকে,OBJ
৮৪তম,TIME
কিয়দংশ,LOC
৭৭০,NUM
+৮৮০১৯৭০৩৩০০৫৭,PHN
ম্যাচেই,OBJ
লিফাহেল্ড,LOC
+৮৮০১৩৩৮৯৫২৩০২,PHN
দিনের,TIME
৪৯১১৮৭৬,NUM
লাঠিটি,OBJ
ময়দানে,OBJ
67101,NUM
2159,NUM
কাদামাটিতে,OBJ
চলবেই,OBJ
নয়াদিল্লী ইন্ডিয়ান টেলিফোন,ORG
+8801768775172,PHN
১০,TIME
ময়না,PER
ব্রাহ্মণডাঙ্গা,LOC
14/07/2031,TIME
রমজান,PER
মালিকরা,OBJ
14:22:43,TIME
দিৱদারা,LOC
স্থানীয়,ORG
কাইনান্তোর উপত্যকায়,LOC
মাঝি-মাল্লারা,PER
+৮৮০১৮৮০২৪০৪২৩,PHN
মেট্রোর,OBJ
ব্যাটালিয়নের,PER
রেসুররেক্শন হাই স্কুল,ORG
+৮৮০১৬৯০৬২৬৮১৫,PHN
+8801480534794,PHN
১১-৮-২০১১,TIME
২৮-৬-২০৭৭,TIME
পরশুদিন,TIME
আহ্বায়ক,PER
20:36:11,TIME
বুধগ্রহের,OBJ
শীতকালেই,OBJ
৩০/১১/২০১১,TIME
জয়,PER
দোকানিরই,OBJ
স্টার্চে,OBJ
পাথরকুঁচিতে,OBJ
এদিনসন,PER
প্যানেলের,OBJ
পুলস্ত মুনিকে,PER
ইদ্রিস,PER
কাচিকাঁটা,LOC
৯৯১৪৭২,NUM
+8801716639514,PHN
+8801499493337,PHN
অবর্ণনীয়,OBJ
শঙ্করহাটি-১,LOC
+8801665749349,PHN
৮৬৩৪২৫৭,NUM
মনতাজ,PER
চিত্তরঞ্জন,PER
ভে৪দার,PER
ডেমোস্পঞ্জ,LOC
এডহক,OBJ
পর্বতে,LOC
শিক্ষকবৃন্দ,OBJ
+৮৮০১৬৩৭৫২৩০৩৫,PHN
44825,NUM
আল-মাখযুমির,PER
৬-৩-২০০৩,TIME
কামরানর,PER
ভট্টশালী,PER
আট,OBJ
02:30:26,TIME
চরনারচর,LOC
দিলবার,PER
নাটেশ্বর,LOC
+8801621895395,PHN
রাজনীতিকীকরণ,OBJ
কস,LOC
শিক্ষাকেন্দ্র হেয়ার স্কুল,ORG
+8801495859550,PHN
দক্ষিণে সরিষাবাড়ি উপজেলা,LOC
আহম,PER
মুশি,PER
+৮৮০১৩৫৮২৮৭৩০১,PHN
+8801952657878,PHN
পূর্বে বাঁশগ্রাম ইউনিয়ন,LOC
দফতর,ORG
ডিএমপিসহ,OBJ
কার্লি,PER
ক্যাপ্টেন,OBJ
তূর,LOC
চান্দনা,LOC
খন্দকারকে,PER
ফেরেয়দুন,PER
পুঁজিবাদী,PER
দলহীন,OBJ
বোট,OBJ
ইয়ামার,ORG
টুকাই,OBJ
রংগারচর,LOC
গণতান্ত্রিক প্রজাতন্ত্রি জার্মানি,LOC
২১–২২,TIME
জাহের,PER
+৮৮০১৩৫৫৬৩২৫২৫,PHN
78324,NUM
সমাজবিজ্ঞানী,PER
মিডিয়ায়,ORG
রিডাকশন,OBJ
সঞ্চালককে,OBJ
শাস্ত্রী,PER
পেট্রোবাংলায়,ORG
নেতা,PER
দেউলী সুবিদখালী,LOC
ব্রুস,PER
পাওয়ার,ORG
একইসময়ে,OBJ
28,NUM
আরআইপি,OBJ
67645,NUM
ময়দান,LOC
নরডিক দেশগুলোর,LOC
মুখোপাধ্যায়ের,LOC
আইপিএতে,LOC
+8801968120856,PHN
02:45:52,TIME
হিজবুত,PER
17/05/2041,TIME
অভিযানও,OBJ
নডতভিডত,PER
২৫/৭/১৯২০,TIME
ভারতীয় পাত,OBJ
জয়ী,OBJ
চালিতাবুনিয়া,LOC
10:21:28,TIME
+৮৮০১৩৬৫২৬৪৪৩৬,PHN
নারি,PER
মোহাম্মদাবাদ,LOC
গ্যাব্রিয়েলের,PER
সার্জারির,OBJ
68807,NUM
রাবেয়া,ORG
+৮৮০১৫৭৭৩৮২২৩৮,PHN
কুলফি কুমার বাজওয়ালা,PER
টোকিওর নেরিমা ওয়ার্ডে,LOC
ভাইরাস,OBJ
+8801913733698,PHN
+৮৮০১৪৯৬৯৯১৩৮৪,PHN
ট্রিস স্ট্র্যাটাসের,PER
ম্যাক্সি,PER
নদমবেলের,PER
ইয়ুল ব্রাইনার মার্লিন,PER
উত্তর জর্ডান নদী,LOC
+8801517416162,PHN
40680,NUM
ছেলেদেরকে,OBJ
ফাতে,PER
+8801583730254,PHN
বাঁশতলী,LOC
মামলায়,OBJ
মাঠলা স্কুল,ORG
+8801573251032,PHN
বিনাচিকিৎসায়,OBJ
ক্রিকেটে,OBJ
+৮৮০১৩৪১৫৫৯২৯৯,PHN
গঙ্গানদীর,LOC
ডার্ক,OBJ
+8801344198183,PHN
সোমবারের,TIME
মোবাশ্বের আলী,PER
75589,NUM
26563,NUM
কুমারন,PER
76241,NUM
ইউটিলিটি,ORG
ডিফেন্সিভ,OBJ
পাকিস্তানিরা,LOC
১০/৮/১৮৯৬,TIME
জম্মু জেলায়,LOC
এমরান,PER
কোমরের,OBJ
হোদেইদাহে,LOC
সাভারকরের,LOC
রাম্ভা,LOC
মোটবী ইউনিয়নে,LOC
কমান্ডোরা,PER
এসই,OBJ
শিল্পে,OBJ
+8801552475485,PHN
রামেরবাগ,LOC
গুস্তাফ,PER
৩২টি,OBJ
৩১/৮/১৯৯৮,TIME
+8801404368858,PHN
দেবেন্দ্রনাথ ব্যানার্জি,PER
কাইরন মেডিম্পেস,ORG
এএইচএম,PER
ফোর্ড রচয়িতা,PER
অসার,OBJ
+8801472301511,PHN
মোহাম্মদ আবদুল্লা,PER
16:21:54,TIME
২০০৬,PER
বিজ্ঞান নরওয়ের ইনস্টিটিউট,ORG
